CODIGO_ENTIDAD,CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_ENTIDAD,SIGLA_ENTIDAD,RUC_ENTIDAD,DIRECCION_ENTIDAD,...10
2,150131,LIMA,LIMA,SAN ISIDRO,Cuerpo General de Bomberos Voluntarios del Perú,CGBVP,20131366885,Av. Salaverry N° 2495,
4,150113,LIMA,LIMA,JESUS MARIA,Instituto Nacional de Estadística e Informática,INEI,20131369981,Av. Gral. Garzón N° 654-658,
5,150120,LIMA,LIMA,MAGDALENA DEL MAR,Organismo Supervisor de la Inversión en Energía y Minería,OSINERGMIN,20376082114,Calle Bernardo Monteagudo N° 222,
7,150130,LIMA,LIMA,SAN BORJA,Organismo Supervisor de Inversión Privada en Telecomunicaciones,OSIPTEL,20216072155,Calle de la Prosa N° 136,
8,150120,LIMA,LIMA,MAGDALENA DEL MAR,Superintendencia Nacional de Servicios de Saneamiento,SUNASS,20158219655,Jr. Bernardo Monteagudo N° 210 - 216,
10,150113,LIMA,LIMA,JESUS MARIA,Organismo Supervisor de las Contrataciones del Estado,OSCE,20419026809,Av. Gregorio Escobedo cuadra 7 s/n,
16,150101,LIMA,LIMA,LIMA,Congreso de la República,Congreso,20161749126,Plaza Bolívar - Av. Abancay s/n,
19,150113,LIMA,LIMA,JESUS MARIA,La Contraloría General de la República,CGR,20131378972,Jr. Camilo Carrillo N° 114,
22,150101,LIMA,LIMA,LIMA,Registro Nacional de Identificación y Estado Civil,RENIEC,20295613620,"Jr. Bolivia 109, Torre Centro Cìvico",
23,150101,LIMA,LIMA,LIMA,Defensoría del Pueblo,DP,20304117142,Jr. Ucayali N° 388,
24,150101,LIMA,LIMA,LIMA,Tribunal Constitucional,TC,20217267618,Jr. Ancash N° 390 - El Cercado,
72,150108,LIMA,LIMA,CHORRILLOS,Dirección Nacional de Inteligencia,DINI,20502628128,Av. Edmundo Aguilar S/N,
73,230101,TACNA,TACNA,TACNA,Zona Franca y Zona Comercial de Tacna,ZOFRATACNA,20147797011,Av. Panamericana Sur s/n Km 1308,
75,150140,LIMA,LIMA,SANTIAGO DE SURCO,Superintendencia Nacional de Salud,SUSALUD,20377985843,Av. Velasco Astete Nº 1398 esquina con La Floresta,
77,150130,LIMA,LIMA,SAN BORJA,Ministerio de Cultura,CULTURA,20537630222,Av. Javier Prado Este N° 2465,
80,150122,LIMA,LIMA,MIRAFLORES,Superintendencia del Mercado de Valores,SMV,20131016396,Av. Santa Cruz No. 315,
82,150101,LIMA,LIMA,LIMA,Oficina de Normalización Previsional,ONP,20254165035,"Jr. Bolivia N° 109, Lima 1",
83,150101,LIMA,LIMA,LIMA,Superintendencia Nacional de Aduanas y de Administración Tributaria,SUNAT,20131312955,Av. Garcilaso de la Vega N° 1472,
85,150131,LIMA,LIMA,SAN ISIDRO,Comisión Nacional de Investigación y Desarrollo Aeroespacial,CONIDA,20131371889,Luis Felipe Villarán N° 1069,
86,150141,LIMA,LIMA,SURQUILLO,Instituto Geográfico Nacional,IGN,20301053623,Av. Aramburú N° 1190 - 1198,
87,150113,LIMA,LIMA,JESUS MARIA,Servicio Nacional de Meteorología e Hidrología del Perú,SENAMHI,20131366028,Jr. Cahuide Nro. 785,
88,70101,CALLAO,CALLAO,CALLAO,Escuela Nacional de Marina Mercante,ENAMM,20131379430,Av. Progreso  #632. Chucuito,
91,150114,LIMA,LIMA,LA MOLINA,Servicio Nacional de Sanidad Agraria del Perú,SENASA,20131373075,Av. La Molina Nº 1915,
92,150114,LIMA,LIMA,LA MOLINA,Instituto Nacional de Innovación Agraria,INIA,20131365994,Av. La Molina Nº 1981 (Ex Av. La Universidad),
94,150130,LIMA,LIMA,SAN BORJA,Instituto Geológico Minero y Metalúrgico,INGEMMET,20112919377,Av. Canadá N° 1470,
95,150130,LIMA,LIMA,SAN BORJA,Instituto Peruano de Energía Nuclear,IPEN,20131371293,Av. Canadá N° 1470,
98,150104,LIMA,LIMA,BARRANCO,Centro de Formación en Turismo,CENFOTUR,20131372001,Jr. Pedro Martinto N° 320,
102,150101,LIMA,LIMA,LIMA,Fondo Nacional de Desarrollo Pesquero,FONDEPES,20137921601,Av. Petit Thouars N° 115,
103,70101,CALLAO,CALLAO,CALLAO,Instituto del Mar del Perú,IMARPE,20148138886,Esquina Gamarra y Gral. Valle s/n. Chucuito,
104,70101,CALLAO,CALLAO,CALLAO,Instituto Tecnológico de la Producción,ITP,20131369477,"Carretera a Ventanilla Km 5,2",
107,150113,LIMA,LIMA,JESUS MARIA,Seguro Social de Salud,ESSALUD,20131257750,Jr. Domingo Cueto N° 120,
109,150121,LIMA,LIMA,Pueblo Libre,Programa Integral Nacional para el Bienestar Familiar,INABIF,20507920722,Av. San Martín N° 685,
113,150101,LIMA,LIMA,LIMA,Programa Nacional de Asistencia Alimentaria,PRONAA,20508011793,Jr. de la Unión N° 262 - 264,
115,150136,LIMA,LIMA,SAN MIGUEL,Patronato del Parque de Las Leyendas - Felipe Benavides Barreda,PATPAL - FBB,20125645039,Av. Parque de Las Leyendas N° 580-582-586,
116,150131,LIMA,LIMA,SAN ISIDRO,Instituto de Desarrollo de Recursos Humanos,IDREH,20206381257,Av. Jorge Basadre Nº 990,
123,150130,LIMA,LIMA,SAN BORJA,UNIDAD EJECUTORA 002 INICTEL UNI,INICTEL-UNI,20514761826,Av. San Luis N° 1771,
124,150130,LIMA,LIMA,SAN BORJA,Servicio Nacional de Capacitación para la Industria de la Construcción,SENCICO,20131377810,Av. De la Poesía 351,
127,150131,LIMA,LIMA,SAN ISIDRO,Ministerio del Ambiente,MINAM,20492966658,Av. Javier Prado Oeste 1440,
128,150131,LIMA,LIMA,SAN ISIDRO,Instituto Nacional de Defensa Civil,INDECI,20135890031,Calle Dr. Ricardo Angulo Ramírez Nº 694 Urb. Corpac,
131,150122,LIMA,LIMA,MIRAFLORES,Ministerio de Justicia y Derechos Humanos,MINJUS,20131371617,Scipión Llona Nº 350,
132,150131,LIMA,LIMA,SAN ISIDRO,Ministerio del Interior,MININTER,20131366966,Plaza 30 de Agosto s/n Urb. Corpac,
133,150130,LIMA,LIMA,SAN BORJA,Ministerio de Educación,MINEDU,20131370998,Av. La Arqueología cdra 2 con Calle El Comercio San Borja,
134,150101,LIMA,LIMA,LIMA,Ministerio de Economía y Finanzas,MEF,20131370645,Jr. Junín N° 319 Lima cercado,
136,150113,LIMA,LIMA,LA MOLINA,Ministerio de Agricultura y Riego,MINAGRI,20131372931,Av. La Universidad N° 200 ;La Molina  -- Jr. Yauyos N° 258; Lima,
137,150130,LIMA,LIMA,SAN BORJA,Ministerio de Energía y Minas,MEM,20131368829,Av. Las Artes Sur N° 260,
138,150131,LIMA,LIMA,SAN ISIDRO,Ministerio de Comercio Exterior  y Turismo,MINCETUR,20504774288,"Calle Uno Oeste N° 050, Urb. Córpac",
139,150131,LIMA,LIMA,SAN ISIDRO,Ministerio de la Producción,PRODUCE,20504794637,Calle Uno Oeste N° 60. Urb. Córpac,
140,150101,LIMA,LIMA,LIMA,Ministerio de Relaciones Exteriores,RREE,20131380101,Jr. Ucayali N° 318 - Jr. Lampa N° 535,
141,150113,LIMA,LIMA,JESUS MARIA,Ministerio de Trabajo y Promoción del Empleo,MTPE,20131023414,Av. Salaverry 655,
142,150101,LIMA,LIMA,LIMA,Ministerio de la Mujer y Poblaciones Vulnerables,MIMP,20336951527,Jr. Camaná N° 616,
143,150113,LIMA,LIMA,JESUS MARIA,Ministerio de Salud,MINSA,20131373237,Av. Salaverry 801,
144,150101,LIMA,LIMA,LIMA,Ministerio de Transportes y Comunicaciones,MTC,20131379944,Jr. Zorritos 1203,
145,150101,LIMA,LIMA,LIMA,Presidencia del Consejo de Ministros,PCM,20168999926,Jr. Carabaya Cdra. 1 S/N - Lima,
146,150101,LIMA,LIMA,LIMA,Banco Central de Reserva del Perú,BCRP,20122476309,Jr. Santa Rosa (antes Antonio Miró Quesada) N° 441 - 445,
147,150131,LIMA,LIMA,SAN ISIDRO,"Superintendencia de Banca, Seguros y Administradoras Privadas de Fondos de Pensiones",SBS,20131370564,Calle Los Laureles 214,
148,150130,LIMA,LIMA,SAN BORJA,Banco de la Nación,BN,20100030595,Av. Javier Prado Este 2499,
154,150101,LIMA,LIMA,LIMA,Empresa Peruana de Servicios Editoriales S.A.,Editora Perú,20100072751,Av. Alfonso Ugarte N° 873,
161,70101,CALLAO,CALLAO,CALLAO,Servicios Industriales de la Marina S.A.,SIMA-PERÚ S.A.,20100003351,Av. Contralmirante Mora N° 1102 - Base Naval del Callao,
175,150131,LIMA,LIMA,SAN ISIDRO,Fondo de Cooperación para el Desarrollo Social,FONCODES,20509139700,Paseo de la República N° 3101,
178,150131,LIMA,LIMA,SAN ISIDRO,Superintendencia Nacional de Bienes Estatales,SBN,20131057823,Calle Chichón N° 890,
180,70101,CALLAO,CALLAO,CALLAO,Gobierno Regional del Callao,GR-Callao,20505703554,Av. Elmer Faucett 3970,
181,150101,LIMA,LIMA,LIMA,Archivo General de la Nación,AGN,20131370726,Jr. Camaná Nº 125 y Pasaje Piura s/n - Cercado de Lima,
182,150101,LIMA,LIMA,LIMA,Instituto Nacional Penitenciario,INPE,20131370050,Jr. Carabaya N° 456,
