   Región  ,Gobernador,Agrupación política,Cargos anteriores de elección popular,Asunción,Inicio del mandato,Final del mandato,Exgobernadores
Amazonas,Óscar Altamirano Quispe,Fuerza Amazonense,Gobernador de Amazonas (2007-2010),Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Áncash,Juan Carlos Morillo Ulloa,Somos Perú,Ninguno,Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Apurímac,Baltazar Lantarón Núñez,Llankasun Kuska,Ninguno,Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Arequipa,Elmer Cáceres Llica,Arequipa - Unidos por el Gran Cambio,Alcalde provincial de Caylloma (2003-2006; 2011-2014),Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Ayacucho,Carlos Rua Carbajal,Musuq Ñan,"Alcalde provincial de Huanta (2011-2014), alcalde distrital de Sivia (1999-2002; 2003-2006)",Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Cajamarca,Mesías Guevara Amasifuén,Acción Popular,Congresista de la República (2011-2016),Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Callao,Dante Mandriotti Castro,Por Ti Callao,Ninguno,Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Cusco,Jean Paul Benavente García,Acción Popular,Ninguno,Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Huancavelica,Maciste Díaz Abad,Trabajando para Todos,"Gobernador de Huancavelica (2011-2014), alcalde provincial de Tayacaja (1999-2002; 2003-2006)",Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Huánuco,Juan Alvarado Cornelio,Acción Popular,"Regidor provincial de Dos de Mayo (1984-1986), regidor distrital de Chinchao (1996-1999)",Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Ica,Javier Gallegos Barrientos,Obras por la Modernidad,Alcalde distrital de Parcona (2007-2010; 2011-2014),Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Junín,Fernando Orihuela Rojas,Perú Libre,Ninguno,Sucesión,14 de noviembre de 2019,31 de diciembre de 2022,Véase
La Libertad,Manuel Llempén Coronel,Alianza para el Progreso,Ninguno,Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Lambayeque,Anselmo Lozano Centurión,Podemos Perú,Alcalde distrital de La Victoria (1999-2002; 2003-2006; 2007-2010; 2011-2014; 2015-2018),Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Lima,Ricardo Chavarría Oria,Fuerza Regional de Lima,Ninguno,Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Loreto,Elisbán Ochoa Sosa,Restauración Nacional,"Alcalde distrital de Indiana (1993-1995; 1996-1998; 2003-2006), regidor provincial de Maynas (1999-2002)",Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Madre de Dios,Luis Hidalgo Okimura,Alianza para el Progreso,Regidor provincial de Tambopata (1984-1986),Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Moquegua,Zenón Cuevas Pare,Frente de Integración Regional - Moquegua Emprendedora,Regidor provincial de Mariscal Nieto (1981-1983; 1986-1989),Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Pasco,Pedro Ubaldo Polinar,Alianza para el Progreso,"Alcalde provincial de Oxapampa (2015-2018), alcalde distrital de Pozuzo (2007-2010)",Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Piura,Servando García Correa,Fuerza Regional de Piura,Ninguna,Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Puno,Agustín Luque Chayña,Mi Casita,Ninguna,Sucesión,13 de septiembre de 2019,31 de diciembre de 2022,Véase
San Martín,Pedro Bogarín Vargas,Acción Regional,Alcalde provincial de Tocache (2003-2006),Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Tacna,Juan Tonconi Quispe,Acción por la Unidad,Ninguna,Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Tumbes,Wilmer Dios Benites,Faena,Gobernador de Tumbes (2007-2010),Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
Ucayali,Francisco Pezo Torres,Alianza para el Progreso,Ninguna,Elecciones,1 de enero de 2019,31 de diciembre de 2022,Véase
